user_id,date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,true_cluster
0,2024-01-01,0.0075132580645161295,0.0064931290322580645,0.011763483870967742,0.024591000000000002,0.04142925806451613,0.08774419354838708,0.15854000000000001,0.2523408064516129,0.3844265161290323,0.5489634516129032,0.7165533548387096,0.8716101612903226,0.9711628709677419,0.9974233225806451,0.9493994516129033,0.8290806129032259,0.6659648064516128,0.49744209677419354,0.3389381935483871,0.21504493548387096,0.12456229032258065,0.06912667741935483,0.03998222580645162,0.017050290322580645,2
1,2024-01-01,0.5269012903225806,0.878414064516129,0.9900637419354839,0.9575021612903225,0.7943803225806451,0.5769016451612903,0.3414041612903226,0.1741600322580645,0.06488732258064515,0.03881729032258065,0.019278838709677417,0.01648377419354839,0.01336583870967742,0.011469516129032258,0.008320193548387096,0.010356225806451614,0.014695967741935484,0.010000903225806452,0.010725612903225807,0.011113483870967741,0.018784903225806452,0.007700032258064516,0.008379290322580646,0.006868709677419355,5
2,2024-01-01,0.004855,0.007208677419354838,0.009038451612903226,0.023993645161290322,0.04474467741935483,0.08753074193548387,0.1650047419354839,0.23750770967741933,0.36099812903225803,0.5172742258064517,0.5933534193548387,0.7251828709677419,0.9566568064516129,0.9998046774193549,0.954610064516129,0.7283511290322581,0.5896457741935485,0.4399606129032258,0.30588238709677423,0.16334235483870968,0.09428570967741935,0.07766200000000001,0.04002654838709677,0.01746645161290323,2
3,2024-01-01,0.5492454838709678,0.8494257741935484,0.9945535161290322,0.9348091612903225,0.6625188387096774,0.39337632258064514,0.17888670967741935,0.05014574193548387,0.01711741935483871,0.010003,0.00914416129032258,0.017545677419354838,0.018172870967741932,0.01696174193548387,0.050561967741935485,0.1345630322580645,0.33597316129032256,0.6114083548387097,0.9201249354838709,0.874769935483871,0.8193431935483871,0.8474451935483871,0.48402619354838705,0.275666064516129,6
4,2024-01-01,0.02365022580645161,0.02787325806451613,0.015431516129032258,0.014488258064516129,0.02715990322580645,0.06479625806451614,0.15819070967741936,0.256151935483871,0.464017,0.7093689032258064,0.8040029677419356,0.8817867096774195,0.9928309999999999,0.8193471290322581,0.5615728064516129,0.300131129032258,0.15661287096774196,0.07412122580645161,0.031185064516129034,0.02561474193548387,0.011175,0.012413516129032258,0.02453941935483871,0.017414774193548387,3
5,2024-01-01,0.01691445161290323,0.008194,0.016266354838709675,0.007249064516129032,0.017524225806451615,0.06328851612903226,0.10080635483870967,0.19017690322580644,0.3615956774193549,0.5836924516129033,0.692440806451613,0.8083618064516129,1.0,0.8567944838709677,0.6368141290322581,0.3464419032258064,0.1930226129032258,0.09335429032258065,0.045753225806451615,0.0165888064516129,0.01305816129032258,0.01508874193548387,0.013160387096774194,0.015128774193548388,3
6,2024-01-01,0.004760290322580646,0.013051096774193548,0.00575041935483871,0.009917354838709678,0.01753793548387097,0.06582754838709677,0.14734499999999998,0.2698294516129032,0.47907935483870967,0.7269830322580645,0.8022788387096774,0.905424064516129,0.999644935483871,0.8223149677419355,0.575220129032258,0.2931270967741936,0.16161283870967744,0.06239803225806452,0.025266903225806454,0.015749032258064517,0.014963709677419354,0.008411870967741935,0.018422322580645162,0.009690935483870967,3
7,2024-01-01,0.008317774193548387,0.0074670000000000005,0.005269967741935484,0.017409419354838713,0.014337483870967742,0.012217032258064517,0.02918235483870968,0.08936093548387096,0.19496464516129033,0.35924941935483873,0.504368064516129,0.6906698709677419,0.9667141935483871,0.9890991612903226,0.8715322903225806,0.5577523548387097,0.3528277741935484,0.19159500000000002,0.09352483870967741,0.03124274193548387,0.013680387096774195,0.015146129032258064,0.015011290322580645,0.009717225806451613,3
8,2024-01-01,0.016813548387096776,0.009012354838709677,0.010724193548387098,0.015623225806451611,0.026558193548387097,0.05952164516129032,0.11946954838709677,0.18803541935483872,0.27672870967741936,0.4280646129032258,0.5011450645161291,0.6475698387096774,0.9006342258064517,0.9890776451612904,0.980523193548387,0.7783133548387097,0.6700082903225807,0.5377609677419355,0.38929648387096777,0.22155548387096774,0.13477335483870967,0.11384603225806451,0.05632948387096774,0.03991083870967742,2
9,2024-01-01,0.013525,0.009392709677419354,0.013298870967741936,0.025650709677419354,0.05112003225806452,0.09734238709677419,0.16946003225806452,0.24527412903225806,0.37341803225806447,0.5367904193548386,0.598129806451613,0.7294210322580644,0.9599852580645162,0.9956486129032258,0.9487945483870968,0.7139133548387097,0.5754722580645161,0.4333773870967742,0.29743903225806456,0.154108,0.08296051612903226,0.06501683870967741,0.05325022580645161,0.02344832258064516,2
10,2024-01-01,0.025976064516129032,0.01635174193548387,0.019929,0.013513387096774195,0.014943967741935483,0.034806,0.10091883870967741,0.20923296774193548,0.41877441935483867,0.6434081935483872,0.7271858387096773,0.7756064516129032,0.8840312903225807,0.8824412903225807,0.9681774193548387,0.9408407096774194,0.9791167741935485,0.9480286451612904,0.8132314516129032,0.5581959354838709,0.386376870967742,0.3049633548387097,0.17684183870967743,0.10620296774193548,4
11,2024-01-01,0.017067967741935485,0.00890041935483871,0.014204870967741935,0.03487374193548387,0.028958129032258063,0.07277970967741934,0.12525506451612903,0.19681703225806452,0.29837470967741936,0.4475779677419355,0.5387942580645162,0.663625,0.9111113548387096,0.988337,0.9843464516129032,0.7825212580645161,0.6611211290322581,0.5142578709677419,0.3718459032258064,0.20459670967741936,0.13751145161290323,0.09833580645161291,0.0499468064516129,0.045429354838709676,2
12,2024-01-01,0.7864010645161291,0.9590855161290323,0.9968552580645161,0.8882763870967741,0.6874015161290322,0.44358106451612905,0.2525311612903226,0.10137016129032259,0.04742890322580645,0.029552129032258064,0.008275548387096774,0.01258141935483871,0.008094258064516129,0.012371387096774194,0.008676645161290322,0.005438129032258065,0.011697677419354839,0.00888141935483871,0.009412193548387095,0.011970483870967741,0.007401161290322581,0.005692354838709677,0.006061548387096775,0.1729911612903226,5
13,2024-01-01,0.014086,0.01996345161290323,0.023810129032258067,0.03313883870967742,0.07243645161290323,0.12779477419354837,0.23660787096774194,0.30541322580645164,0.46142225806451614,0.6359189032258065,0.6683416774193549,0.7876301935483871,0.9858075806451613,0.9785429032258065,0.8853478387096774,0.6402628064516129,0.4929303548387096,0.3526453225806452,0.23475596774193547,0.12341383870967743,0.062235806451612904,0.05577280645161291,0.023336032258064514,0.012579516129032258,2
14,2024-01-01,0.021687290322580644,0.009827935483870967,0.009839967741935483,0.007232516129032258,0.012220387096774194,0.032014548387096775,0.1006585806451613,0.21060867741935485,0.4116953225806452,0.6447156129032259,0.7079748709677419,0.7769686451612903,0.8975640322580645,0.9185330967741936,0.9965233870967742,0.9262862903225806,0.9720627741935485,0.9315847419354839,0.8081815806451613,0.5284988064516128,0.3702497096774194,0.3313974193548387,0.18978096774193548,0.11194806451612903,4
15,2024-01-01,0.006327129032258065,0.009522645161290323,0.008052387096774192,0.006262870967741936,0.008237935483870968,0.018786870967741936,0.05349964516129032,0.11838280645161291,0.259191064516129,0.4411186129032258,0.6841283225806452,0.8878486774193549,0.9947457096774194,0.9463931935483871,0.7768581290322581,0.5390475806451612,0.32551654838709676,0.17027390322580643,0.0818233870967742,0.03124274193548387,0.021638838709677418,0.01208083870967742,0.008684580645161291,0.005275967741935484,3
16,2024-01-01,0.008644387096774193,0.007636548387096774,0.014843483870967742,0.016020064516129032,0.042763580645161295,0.08733474193548388,0.14754429032258065,0.22376364516129033,0.3492635483870968,0.5061530322580645,0.5726401935483871,0.7034963225806451,0.9453695806451613,0.9870204516129032,0.9571651935483871,0.7253198064516129,0.60273,0.45010174193548386,0.32374787096774194,0.16983709677419354,0.10506625806451614,0.07260445161290323,0.050292419354838705,0.02009138709677419,2
