method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
evolvegcn-clus,City-B,2024-01,1,500,,8,0.9931071196335546,0.6734028222814598,0.4469417478497165,,
evolvegcn-clus,City-B,2024-02,1,500,500.0,8,0.939992506990452,0.6537888530367475,0.43530615578105636,0.016,0.14363736185887066
evolvegcn-clus,City-B,2024-03,1,500,500.0,8,0.9794711085221179,0.6873247770247808,0.38625320737046154,0.022,0.19750137255594716
evolvegcn-clus,City-B,2024-04,1,500,500.0,8,0.8015323177975548,0.6218709557041261,0.43373611708618853,0.606,5.440265080404727
evolvegcn-clus,City-B,2024-05,1,500,500.0,8,0.9427758224632885,0.70980580790953,0.3425967086781254,0.216,1.939104385094754
evolvegcn-clus,City-B,2024-06,1,500,500.0,8,0.7878567040242017,0.6239300795667551,0.5961547842345731,0.168,1.508192299518142
evolvegcn-clus,City-B,2024-07,1,500,500.0,8,0.9089128082686351,0.6956358976433422,0.36269953163069363,0.168,1.5081922995181418
evolvegcn-clus,City-B,2024-08,1,500,500.0,8,0.8670205829545862,0.6858429255292242,0.3733290406016577,0.002,0.017954670232358833
evolvegcn-clus,City-B,2024-09,1,500,500.0,8,0.5760424170967562,0.5964293607234522,0.4690759102582446,0.256,2.29819778974193
evolvegcn-clus,City-B,2024-10,1,500,500.0,8,0.8607046410279626,0.7123319943019142,0.3340579922655129,0.24,2.1545604278830597
evolvegcn-clus,City-B,2024-11,1,500,500.0,8,0.811527144736367,0.6197424510262081,0.6190635401740506,0.148,1.3286455971945534
evolvegcn-clus,City-B,2024-12,1,500,500.0,8,0.7225155914518174,0.5830097711621592,0.5904842305879268,0.486,4.362984866463197
evolvegcn-clus,City-B,2024-01,2,500,,8,0.74009146284509,0.5927153600143116,0.5825249531043332,,
evolvegcn-clus,City-B,2024-02,2,500,500.0,8,0.8962191445781674,0.6737895928061955,0.35279853965173424,0.206,1.8493310339329596
evolvegcn-clus,City-B,2024-03,2,500,500.0,8,0.8461718719043037,0.6653953765647587,0.4791700144006047,0.17,1.5261469697505008
evolvegcn-clus,City-B,2024-04,2,500,500.0,8,0.9683730222491741,0.7667641860467042,0.28430294433063474,0.64,5.745494474354826
evolvegcn-clus,City-B,2024-05,2,500,500.0,8,0.8671173902270185,0.6849167803073242,0.41464663263471746,0.088,0.7900054902237886
evolvegcn-clus,City-B,2024-06,2,500,500.0,8,0.8584217578337904,0.6585764317966294,0.4351304118826592,0.006,0.0538640106970765
evolvegcn-clus,City-B,2024-07,2,500,500.0,8,0.8462475570182886,0.6277419766329327,0.4529077394092093,0.062,0.5565947772031239
evolvegcn-clus,City-B,2024-08,2,500,500.0,8,0.5249463734851375,0.6379524103379361,0.4134239302126132,0.424,3.8063900892600726
evolvegcn-clus,City-B,2024-09,2,500,500.0,8,0.8651662301457321,0.6925251645359637,0.3458049989472437,0.356,3.195931301359872
evolvegcn-clus,City-B,2024-10,2,500,500.0,8,0.6915137840470859,0.5728668150591848,0.5006316843719324,0.316,2.8368378967126957
evolvegcn-clus,City-B,2024-11,2,500,500.0,8,0.7994434479584401,0.6277812139748594,0.44733331911190743,0.164,1.4722829590534243
evolvegcn-clus,City-B,2024-12,2,500,500.0,8,0.7204054576619551,0.591300069008772,0.6083143980969001,0.276,2.477744492065519
evolvegcn-clus,City-B,2024-01,3,500,,8,0.7477196701511075,0.5943419436520151,0.6422315264770198,,
evolvegcn-clus,City-B,2024-02,3,500,500.0,8,0.9210438307864777,0.6689026538387759,0.36538293435711644,0.26,2.3341071302066485
evolvegcn-clus,City-B,2024-03,3,500,500.0,8,0.9943117068835401,0.6898700077741694,0.3396608889667876,0.026,0.2334107130206648
evolvegcn-clus,City-B,2024-04,3,500,500.0,8,0.9683730222491741,0.7070790191560565,0.31090774954165906,0.004,0.035909340464717665
evolvegcn-clus,City-B,2024-05,3,500,500.0,8,0.9159733779773915,0.7041954746395128,0.2965078629173118,0.014,0.12568269162651183
evolvegcn-clus,City-B,2024-06,3,500,500.0,8,0.8873250241410852,0.7038198943496731,0.3060231417916106,0.01,0.08977335116179416
evolvegcn-clus,City-B,2024-07,3,500,500.0,8,0.859351483446059,0.6808723383734856,0.3331935853258206,0.006,0.0538640106970765
evolvegcn-clus,City-B,2024-08,3,500,500.0,8,0.7091829036453466,0.6105860445493497,0.4521438468379363,0.114,1.0234162032444536
evolvegcn-clus,City-B,2024-09,3,500,500.0,8,0.7374316113120867,0.6260112410708417,0.4809601052678671,0.328,2.9445659181068486
evolvegcn-clus,City-B,2024-10,3,500,500.0,8,0.8304195653835154,0.7034549865643747,0.31323807114656016,0.212,1.903195044630036
evolvegcn-clus,City-B,2024-11,3,500,500.0,8,0.7954440637482348,0.657982623567737,0.4717943416143335,0.16,1.4363736185887064
evolvegcn-clus,City-B,2024-12,3,500,500.0,8,0.6892010136536785,0.609770847468993,0.5353129339128171,0.376,3.375478003683461
