method,city,period,n_users,k,ari,silhouette,dbi,csr,ts
kmeans,City-A,2024-01,800,8,0.5556863595935018,0.4367207722213039,0.87394494476645,,
kmeans,City-A,2024-02,800,8,0.47499894019683436,0.39244983216935353,0.9461204668837503,0.175,1.5710336453313978
kmeans,City-A,2024-03,800,8,0.4907379530220793,0.4109807285890544,0.9290003445689202,0.1925,1.7281370098645374
kmeans,City-A,2024-04,800,8,0.4766677505436749,0.4255330359511545,0.9170281921214932,0.26125,2.3453287991018725
kmeans,City-A,2024-05,800,8,0.4600920056839763,0.4265203967817232,0.8952039659284252,0.17625,1.5822553142266218
kmeans,City-A,2024-06,800,8,0.4122036260270835,0.42187607726157256,0.8963971066635539,0.27125,2.4351021502636665
kmeans,City-A,2024-07,800,8,0.33901739864293917,0.40464988682656783,0.964614661257178,0.3525,3.164510628453245
kmeans,City-A,2024-08,800,8,0.33579672951088513,0.41511082434937463,0.9246482516648363,0.335,3.0074072639201046
kmeans,City-A,2024-09,800,8,0.29691036787723674,0.40521354769129453,0.9380136957963963,0.2725,2.446323819158891
kmeans,City-A,2024-10,800,8,0.3127700118898362,0.40863491249446815,0.946571582875903,0.2325,2.087230414511714
kmeans,City-A,2024-11,800,8,0.2640452645976953,0.3988365817245784,0.9791706023798086,0.2725,2.446323819158891
kmeans,City-A,2024-12,800,8,0.2620336171567042,0.3594197692626645,1.0297510442170554,0.33625,3.0186289328153286
kmeans,City-B,2024-01,500,8,0.9546288727589437,0.6295797430393945,0.5121464578211399,,
kmeans,City-B,2024-02,500,8,0.8852511207944709,0.5746767758843677,0.5602699490889902,0.08,0.7181868092943532
kmeans,City-B,2024-03,500,8,0.9415170538821226,0.6378668636705735,0.4909037232535135,0.078,0.7002321390619944
kmeans,City-B,2024-04,500,8,0.5441742076531876,0.5389952796419921,0.5929060264854367,0.312,2.800928556247978
kmeans,City-B,2024-05,500,8,0.904858045300385,0.6226622115035603,0.5091258905545507,0.32,2.872747237177413
kmeans,City-B,2024-06,500,8,0.5655097765833657,0.5664978526981105,0.5705158562366339,0.316,2.8368378967126957
kmeans,City-B,2024-07,500,8,0.7273248816135454,0.49899405400976093,0.7500570968729707,0.456,4.093664812977814
kmeans,City-B,2024-08,500,8,0.6683697552551517,0.4631155805325759,0.7861107060352142,0.1,0.8977335116179416
kmeans,City-B,2024-09,500,8,0.6588324223333853,0.4835518871337645,0.6656394423685632,0.306,2.7470645455509017
kmeans,City-B,2024-10,500,8,0.5229493381202661,0.5715683689320943,0.6111597606360226,0.602,5.404355739940009
kmeans,City-B,2024-11,500,8,0.7518852927470515,0.5120656187824613,0.6531782229879817,0.482,4.327075525998479
kmeans,City-B,2024-12,500,8,0.7346256877940482,0.48114131823506073,0.7131537218688939,0.086,0.7720508199914298
kmeans,City-C,2024-01,650,8,0.7257991836692367,0.4564331722521004,0.8368228459599767,,
kmeans,City-C,2024-02,650,8,0.6987875321615329,0.49844292881784036,0.7536816291455515,0.20923076923076922,1.8783347320006163
kmeans,City-C,2024-03,650,8,0.5396865479338072,0.45635421973275986,0.8446120068384971,0.31846153846153846,2.8589359523832907
kmeans,City-C,2024-04,650,8,0.6247211426816983,0.4801815651213526,0.792757677665904,0.24307692307692308,2.1821829974713043
kmeans,City-C,2024-05,650,8,0.559006312187157,0.45743500798934694,0.8611222030908885,0.17076923076923076,1.5330526121475618
kmeans,City-C,2024-06,650,8,0.5568995243573839,0.46944300101466535,0.7916110588748791,0.16153846153846155,1.4501849033828287
kmeans,City-C,2024-07,650,8,0.5285026681097776,0.45276799909652116,0.8380182644371578,0.026153846153846153,0.23479184150007704
kmeans,City-C,2024-08,650,8,0.49714120347715784,0.4657382993594984,0.9529854253955273,0.07384615384615385,0.6629416701178645
kmeans,City-C,2024-09,650,8,0.46750519311176586,0.42438162127067924,0.8860543893015811,0.17384615384615384,1.5606751817358062
kmeans,City-C,2024-10,650,8,0.443331095681582,0.46765714993018376,0.8728771852064097,0.20307692307692307,1.8230895928241275
kmeans,City-C,2024-11,650,8,0.42928223188389375,0.458864558352045,0.8473175162161961,0.06769230769230769,0.6076965309413758
kmeans,City-C,2024-12,650,8,0.41802985094758144,0.3984764635163914,0.9282737964740523,0.44153846153846155,3.9638387359130656
dynec,City-A,2024-01,800,8,0.8157347726250661,0.6392505886385945,0.468604880065852,,
dynec,City-A,2024-02,800,8,0.8248496725957292,0.6579832739147017,0.4393889383911152,0.02625,0.01581787195196185
dynec,City-A,2024-03,800,8,0.7964962340203511,0.659171779400693,0.4402758518028652,0.01625,0.003568452372172094
dynec,City-A,2024-04,800,8,0.7584929850173481,0.642007342394136,0.45875558064242317,0.02625,0.01092632105557118
dynec,City-A,2024-05,800,8,0.6714819379494127,0.637537016940852,0.4709153479074124,0.03,0.011375975216651292
dynec,City-A,2024-06,800,8,0.6228978474019723,0.6375185328818279,0.4751023413893794,0.03625,0.010251600019235458
dynec,City-A,2024-07,800,8,0.5400680437219498,0.6142838067255879,0.5094671031402049,0.04,0.00957363428831352
dynec,City-A,2024-08,800,8,0.46902029009173085,0.5775342963937088,0.5539416719955211,0.035,0.011770098025128828
dynec,City-A,2024-09,800,8,0.4547637454553236,0.5736758882395396,0.550955260807857,0.0375,0.010671086678030926
dynec,City-A,2024-10,800,8,0.44774967940287697,0.5566654024898271,0.5803690985516047,0.0275,0.004257592515523036
dynec,City-A,2024-11,800,8,0.4463234339680447,0.5610651494012806,0.5831157282079157,0.02,0.002473341267833724
dynec,City-A,2024-12,800,8,0.4457784048101022,0.553225171886075,0.5893463779299388,0.02,0.002463572939385224
dynec,City-B,2024-01,500,8,0.8923206287763216,0.6540053550529501,0.4432397845751662,,
dynec,City-B,2024-02,500,8,0.8863064033455617,0.672306578828938,0.4198469854185587,0.006,0.012981599738615106
dynec,City-B,2024-03,500,8,0.8793990222168243,0.6658463197004373,0.4293070964335259,0.004,0.0033976040057608074
dynec,City-B,2024-04,500,8,0.8628700219494224,0.6602273118914068,0.43661455943881666,0.01,0.005540666489403437
dynec,City-B,2024-05,500,8,0.8335447607742928,0.65351545786721,0.4404759612119754,0.008,0.003530276134977252
dynec,City-B,2024-06,500,8,0.8180913096215588,0.6565046617630325,0.44021617909746974,0.004,0.0012517832702453155
dynec,City-B,2024-07,500,8,0.8066298813486414,0.6229557273941768,0.47886836102392555,0.008,0.005481586968264915
dynec,City-B,2024-08,500,8,0.7747782062831314,0.6142397295386811,0.5001298584389189,0.012,0.004853070321383271
dynec,City-B,2024-09,500,8,0.7768772251270994,0.633910314844803,0.5014724473102954,0.016,0.018630332509096795
dynec,City-B,2024-10,500,8,0.7625077580658638,0.6490146781263295,0.4597453662410089,0.018,0.003013649170152584
dynec,City-B,2024-11,500,8,0.7686673661770136,0.6521569316098376,0.45321999203166147,0.01,0.0023051562102573
dynec,City-B,2024-12,500,8,0.7627265973758128,0.6341305854346193,0.47319583554282035,0.012,0.00371745523309177
dynec,City-C,2024-01,650,8,0.984299707448399,0.7296774552568848,0.37815045530677316,,
dynec,City-C,2024-02,650,8,0.9883293508775121,0.7513151849890284,0.3422825791846138,0.0015384615384615385,0.009541397180842875
dynec,City-C,2024-03,650,8,0.94974156669406,0.7507388836848607,0.34531492454718504,0.004615384615384616,0.006107546083287269
dynec,City-C,2024-04,650,8,0.8832143179592348,0.7576415189893964,0.3368206974325083,0.006153846153846154,0.0069804395238346065
dynec,City-C,2024-05,650,8,0.8294168161517045,0.7491278206851035,0.347812292723061,0.010769230769230769,0.016451468915809116
dynec,City-C,2024-06,650,8,0.76856879292518,0.7521503928732783,0.34237002165357266,0.004615384615384616,0.00983964278409545
dynec,City-C,2024-07,650,8,0.7209695539308986,0.7038048470733563,0.40800660427931906,0.007692307692307693,0.009168992856083236
dynec,City-C,2024-08,650,8,0.6640781090509154,0.7065740944880078,0.4050937674153656,0.007692307692307693,0.002860763953977374
dynec,City-C,2024-09,650,8,0.6430954168493185,0.7366639073306178,0.3574658221826652,0.007692307692307693,0.007498302111025803
dynec,City-C,2024-10,650,8,0.637056423748549,0.7443090919859839,0.3447392280189452,0.007692307692307693,0.0033481244629382707
dynec,City-C,2024-11,650,8,0.6337251433170052,0.7380747645971442,0.35535931682916366,0.007692307692307693,0.0023509297378633376
dynec,City-C,2024-12,650,8,0.6405934369125571,0.7249736552418165,0.37725720514291505,0.004615384615384616,0.002826766222215044
