method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
kmeans,City-A,2024-01,1,800,,8,0.5015734991816315,0.4337119569895135,0.8963582370512762,,
kmeans,City-A,2024-02,1,800,800.0,8,0.5207189642803702,0.4232966383092709,0.8864375227951407,0.2775,2.491210494739788
kmeans,City-A,2024-03,1,800,800.0,8,0.5195133129038602,0.42967490747314685,0.9051161432138558,0.3825,3.4338306819386277
kmeans,City-A,2024-04,1,800,800.0,8,0.5457634158044435,0.45572914412255616,0.8560994028813556,0.30625,2.7493088793299463
kmeans,City-A,2024-05,1,800,800.0,8,0.48128504992783716,0.44087428009667745,0.87355335382448,0.02,0.17954670232358833
kmeans,City-A,2024-06,1,800,800.0,8,0.3461808756367782,0.3703595478241983,1.057354626878201,0.39375,3.5348257019956453
kmeans,City-A,2024-07,1,800,800.0,8,0.34262221561085704,0.40344092982312035,0.9507786122255324,0.2775,2.491210494739788
kmeans,City-A,2024-08,1,800,800.0,8,0.32778918442857535,0.41215582656762406,0.9355348187455801,0.31625,2.8390822304917407
kmeans,City-A,2024-09,1,800,800.0,8,0.2766373584706749,0.40300957001380305,0.9669043227317842,0.30875,2.771752217120395
kmeans,City-A,2024-10,1,800,800.0,8,0.2810589502951839,0.3864995131141194,0.9709698088153264,0.195,1.7505803476549864
kmeans,City-A,2024-11,1,800,800.0,8,0.2614703850168785,0.3711256169970718,1.0331628322472333,0.37375,3.3552789996720573
kmeans,City-A,2024-12,1,800,800.0,8,0.26247463199697313,0.39574051035626,0.9872506993103981,0.28,2.5136538325302364
kmeans,City-B,2024-01,1,500,,8,0.8692256345044729,0.5444502006499617,0.6207683750515927,,
kmeans,City-B,2024-02,1,500,500.0,8,0.9612621217412747,0.6377864378118979,0.49801332207753163,0.108,0.9695521925473769
kmeans,City-B,2024-03,1,500,500.0,8,0.7744583804528964,0.5412227578237714,0.6074510927687697,0.234,2.1006964171859837
kmeans,City-B,2024-04,1,500,500.0,8,0.9291445419398489,0.6271140717838628,0.5028816400610585,0.236,2.118651087418342
kmeans,City-B,2024-05,1,500,500.0,8,0.904858045300385,0.6226622115035602,0.5091258905545508,0.006,0.0538640106970765
kmeans,City-B,2024-06,1,500,500.0,8,0.8766455714559793,0.6122984139141359,0.5197630442140482,0.012,0.107728021394153
kmeans,City-B,2024-07,1,500,500.0,8,0.8559071858713674,0.5858116594771355,0.5515666122191181,0.006,0.0538640106970765
kmeans,City-B,2024-08,1,500,500.0,8,0.6945365873906476,0.4932425852273434,0.772793233037697,0.192,1.723648342306448
kmeans,City-B,2024-09,1,500,500.0,8,0.7161473457021289,0.5438455059281696,0.6754759483270897,0.294,2.6393365241567484
kmeans,City-B,2024-10,1,500,500.0,8,0.8148761804199556,0.5899718740242594,0.5534159389244334,0.154,1.38250960789163
kmeans,City-B,2024-11,1,500,500.0,8,0.733722616071183,0.49116238620939917,0.7264736835826027,0.186,1.6697843316093712
kmeans,City-B,2024-12,1,500,500.0,8,0.8283157286761292,0.5788537496600448,0.6236735288153212,0.148,1.3286455971945534
