method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
dynec,City-A,2024-01,1,800,,8,0.8475231042077301,0.5320670495913028,0.5141779542601056,,
dynec,City-A,2024-02,1,800,800.0,8,0.8771649891370148,0.6670685567448663,0.536492567455858,0.0225,0.007075286188304974
dynec,City-A,2024-03,1,800,800.0,8,0.8253481865920292,0.6115452124267746,0.7857445836491629,0.01875,0.0026469935467434828
dynec,City-A,2024-04,1,800,800.0,8,0.770968454276676,0.6396816033526538,0.7835652603708754,0.01625,0.009388780797980173
dynec,City-A,2024-05,1,800,800.0,8,0.6977768005973616,0.6179359742877477,0.7566581755729196,0.01625,0.010188353784053115
dynec,City-A,2024-06,1,800,800.0,8,0.6293469765112065,0.5956977604133801,0.8133705846377773,0.02875,0.009535819646809753
dynec,City-A,2024-07,1,800,800.0,8,0.5372064776688991,0.6187204721279466,0.6050962199128215,0.01625,0.008640526903213756
dynec,City-A,2024-08,1,800,800.0,8,0.4695467788392403,0.5702948665039481,0.8183953348171171,0.0225,0.008294707460774469
dynec,City-A,2024-09,1,800,800.0,8,0.45416032444885573,0.5088932204122147,0.8293010312781004,0.02,0.00957988318720901
dynec,City-A,2024-10,1,800,800.0,8,0.45606230680212567,0.5709687146445187,0.7631911303551299,0.01125,0.003058486337220897
dynec,City-A,2024-11,1,800,800.0,8,0.4515652532419125,0.5531666729912634,0.8082262828193734,0.01,0.002026711408010207
dynec,City-A,2024-12,1,800,800.0,8,0.45157580804488817,0.5778565738402758,0.7749302231420236,0.00375,0.002123331203274944
dynec,City-A,2024-01,2,800,,8,0.7724345350992177,0.5816833692536835,0.5529534362058468,,
dynec,City-A,2024-02,2,800,800.0,8,0.8247373424053762,0.6854355022219007,0.4370655282982383,0.08375,0.21631224070837501
dynec,City-A,2024-03,2,800,800.0,8,0.7965070429275114,0.6590916693424838,0.42899901343014846,0.015,0.0040270939186490195
dynec,City-A,2024-04,2,800,800.0,8,0.7584929850173481,0.6507746869602238,0.4433740383595693,0.025,0.011297512788570295
dynec,City-A,2024-05,2,800,800.0,8,0.6714819379494127,0.6663954532843767,0.42969389996641655,0.03,0.011360539713446695
dynec,City-A,2024-06,2,800,800.0,8,0.6228978474019723,0.6335399466599112,0.4913810829726396,0.03625,0.010251908304422767
dynec,City-A,2024-07,2,800,800.0,8,0.5400680437219498,0.614997641988635,0.49107713840085976,0.04,0.00957923783794682
dynec,City-A,2024-08,2,800,800.0,8,0.46902029009173085,0.5523557945696246,0.59782582632378,0.035,0.011772928049584021
dynec,City-A,2024-09,2,800,800.0,8,0.4547637454553236,0.5604251521572982,0.5847194266396392,0.0375,0.010670796638727659
dynec,City-A,2024-10,2,800,800.0,8,0.44774967940287697,0.5517020835729245,0.6270462617809494,0.0275,0.004257831196089259
dynec,City-A,2024-11,2,800,800.0,8,0.4463234339680447,0.5244158916795933,0.6284810754659791,0.02,0.00247335292281996
dynec,City-A,2024-12,2,800,800.0,8,0.4457784048101022,0.5483377740773545,0.5603964260272325,0.1825,0.002463572347201303
dynec,City-A,2024-01,3,800,,8,0.8157347726250661,0.6398358693413254,0.4605762798958019,,
dynec,City-A,2024-02,3,800,800.0,8,0.8248496725957292,0.6982146957565647,0.39425476895627837,0.02625,0.015588669121876208
dynec,City-A,2024-03,3,800,800.0,8,0.7964962340203511,0.6797230885384775,0.41896788138984276,0.01625,0.0035632503057226894
dynec,City-A,2024-04,3,800,800.0,8,0.7584929850173481,0.630867479752483,0.470392917080778,0.02625,0.010927795821345674
dynec,City-A,2024-05,3,800,800.0,8,0.6714819379494127,0.629728972935164,0.4718045737119043,0.03,0.011375888947579453
dynec,City-A,2024-06,3,800,800.0,8,0.6228978474019723,0.6441783576248228,0.44995756448284796,0.03625,0.010251601372742202
dynec,City-A,2024-07,3,800,800.0,8,0.5400680437219498,0.6278784433824591,0.4975584029613985,0.04,0.009573660790479596
dynec,City-A,2024-08,3,800,800.0,8,0.46902029009173085,0.5866397566948229,0.5466599685178282,0.035,0.011770111496022775
dynec,City-A,2024-09,3,800,800.0,8,0.4547637454553236,0.5596429647681209,0.5238690383400202,0.0375,0.010671085303105376
dynec,City-A,2024-10,3,800,800.0,8,0.44774967940287697,0.5697883830013671,0.5565261484046566,0.0275,0.004257593651925381
dynec,City-A,2024-11,3,800,800.0,8,0.4463234339680447,0.5463879937198106,0.5859519348170698,0.02,0.0024733413233239466
dynec,City-A,2024-12,3,800,800.0,8,0.4457784048101022,0.5662579411032858,0.5615512027795057,0.02,0.0024635729365563575
