method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
dynec,City-B,2024-01,1,500,,8,0.8923206287763216,0.6418850871467444,0.42669523625485645,,
dynec,City-B,2024-02,1,500,500.0,8,0.8863064033455617,0.6647421951835853,0.41064574181317137,0.006,0.012965919788421725
dynec,City-B,2024-03,1,500,500.0,8,0.8793990222168243,0.6626425501110279,0.4366188722899921,0.004,0.0033951709666672565
dynec,City-B,2024-04,1,500,500.0,8,0.8628700219494224,0.6676793929012871,0.4231814006331728,0.01,0.005540160406469909
dynec,City-B,2024-05,1,500,500.0,8,0.8335447607742928,0.6899830331287323,0.4179218110103872,0.008,0.0035302553396723414
dynec,City-B,2024-06,1,500,500.0,8,0.8180913096215588,0.6562036340202334,0.4391795768931295,0.004,0.0012517246578050872
dynec,City-B,2024-07,1,500,500.0,8,0.8066298813486414,0.592225808191732,0.48598068390834326,0.008,0.005481539469771099
dynec,City-B,2024-08,1,500,500.0,8,0.7747782062831314,0.6113828471978201,0.4714606163387086,0.012,0.0048529744792168835
dynec,City-B,2024-09,1,500,500.0,8,0.7768772251270994,0.6304584298247786,0.5690179970908554,0.016,0.01862915031315634
dynec,City-B,2024-10,1,500,500.0,8,0.7625077580658638,0.6508184969160132,0.45803071890270336,0.018,0.003010882641076005
dynec,City-B,2024-11,1,500,500.0,8,0.7686673661770136,0.6477910797207522,0.42247426079542216,0.01,0.0023047821680208915
dynec,City-B,2024-12,1,500,500.0,8,0.7627265973758128,0.6402128717400482,0.4574414750068222,0.012,0.003717279205923332
dynec,City-B,2024-01,2,500,,8,0.8923206287763216,0.6629500699570667,0.4443869862656551,,
dynec,City-B,2024-02,2,500,500.0,8,0.8863064033455617,0.6763124942452472,0.41959447499960484,0.006,0.012983011700511707
dynec,City-B,2024-03,2,500,500.0,8,0.8793990222168243,0.6542354726492796,0.4225162748168676,0.004,0.0033978259623749928
dynec,City-B,2024-04,2,500,500.0,8,0.8628700219494224,0.667992198337751,0.4147643173186855,0.01,0.005540712575318566
dynec,City-B,2024-05,2,500,500.0,8,0.8335447607742928,0.6435447558004068,0.4249743172969388,0.008,0.003530276941889198
dynec,City-B,2024-06,2,500,500.0,8,0.8180913096215588,0.6604355402449389,0.44279377284210575,0.004,0.0012517890989810834
dynec,City-B,2024-07,2,500,500.0,8,0.8066298813486414,0.6064793447480978,0.44873038220578,0.008,0.005481589488882369
dynec,City-B,2024-08,2,500,500.0,8,0.7747782062831314,0.6317043366763937,0.47233296660478813,0.012,0.0048530785771951045
dynec,City-B,2024-09,2,500,500.0,8,0.7768772251270994,0.642526514727869,0.509794161301765,0.016,0.01863043842051432
dynec,City-B,2024-10,2,500,500.0,8,0.7625077580658638,0.6624466022955611,0.45461654262626394,0.018,0.003013902427981438
dynec,City-B,2024-11,2,500,500.0,8,0.7686673661770136,0.6805366064124803,0.3998575711426296,0.01,0.0023051943354691967
dynec,City-B,2024-12,2,500,500.0,8,0.7627265973758128,0.5890560164562398,0.4925100880898574,0.012,0.003717470699165425
dynec,City-B,2024-01,3,500,,8,0.709257839246945,0.6188490593730862,0.5383319767766732,,
dynec,City-B,2024-02,3,500,500.0,8,0.7047743603837248,0.6254880197549678,0.5358813996844695,0.01,0.010494093318537847
dynec,City-B,2024-03,3,500,500.0,8,0.704058175191917,0.6172287395624028,0.5554490635064886,0.008,0.0024072976913290184
dynec,City-B,2024-04,3,500,500.0,8,0.6832478669668763,0.5906606486401675,0.5675235674951231,0.024,0.007159503032525913
dynec,City-B,2024-05,3,500,500.0,8,0.6571010527813154,0.5748929571676215,0.6420265696514091,0.02,0.0026968077586775863
dynec,City-B,2024-06,3,500,500.0,8,0.6524056297185391,0.5990138760977175,0.5898283792243171,0.018,0.0010240908395749702
dynec,City-B,2024-07,3,500,500.0,8,0.6220517849494429,0.5368092180674059,0.6640214713419555,0.254,0.004908040752806358
dynec,City-B,2024-08,3,500,500.0,8,0.6277613735748742,0.5533919280616391,0.6309564340273225,0.044,0.005984981869673707
dynec,City-B,2024-09,3,500,500.0,8,0.6052325840314818,0.5720526744257598,0.6452151097713776,0.262,0.008686431954815057
dynec,City-B,2024-10,3,500,500.0,8,0.5978432182824481,0.605514976303764,0.6047956169311848,0.252,0.0043389343609748065
dynec,City-B,2024-11,3,500,500.0,8,0.6081734893837741,0.5639155941913974,0.6303763389940404,0.138,0.13197347603249301
dynec,City-B,2024-12,3,500,500.0,8,0.5813858561780716,0.5283836813381159,0.6626504485964029,0.096,0.013191612290662668
